,artist_name,born_death,estimate,event,lot_number,medium,provenance,signature,size,sold_price,title,year_creation
36,Auguste Rodin ,1840-1917,"USD 12,000 - USD 18,000",nov17,341,bronze with dark brown patina,"Musée Rodin, Paris.
Galerie Huguette Bérès, Paris (acquired from the above, March 1959).
The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London (acquired from the above, 1959).
Acquired from the above by the late owner.",signed 'A. Rodin' (on the top of the base); inscribed and dated '© by musée Rodin 1958' (on the right side of the base); inscribed with foundry mark 'Georges Rudier. .Fondeur. Paris.' (on the back of the base); with raised signature 'A. Rodin' (on the underside),Height: 8 ¾ in. (22.3 cm.)|,"USD 20,000","Nu féminin debout dit aussi ""Le Jour, Le jour, étude sans bras ni tête""",Conceived in 1882; this bronze version cast in 1958
37,Armand Guillaumin ,1841-1927,"USD 30,000 - USD 50,000",nov17,342,oil on canvas,"George Urion, Paris; sale, Galerie Georges Petit, Paris, 30 May 1927, lot 48.
Arthur Tooth & Sons, Ltd., London.
Acquired from the above by the late owner.",signed 'Guillaumin' (lower right),9 5/8 x 14 in. (24.7 x 35.5 cm.)|,"USD 50,000",La Seine à Charenton,Painted circa 1878
38,Albert Marquet ,1875-1947,"USD 200,000 - USD 300,000",nov17,347,oil on canvas,"Galerie Druet, Paris (acquired from the artist).
Dr. T. Keller, Paris (acquired from the above, February 1907).
Galerie Druet, Paris (acquired from the above).
Olivier Senn, Le Havre (acquired from the above, November 1909).
Private collection, France (by descent from the above).
Galerie Schmit, Paris.
Acquired by the family of the present owners, 1973.",signed ‘marquet’ (lower right),19 5/8 x 24 in. (49.8 x 61 cm.)|,"USD 396,500","Quai du Louvre, soleil pâle",Painted in 1906
39,Albert André ,1869-1954,"USD 30,000 - USD 50,000",nov17,350,28 ½ x 36 in. (72.5 x 91.5 cm.),"Hirschl & Adler Galleries, Inc., New York.
Acquired from the above by the late owner, November 1958.",oil on burlap,,"USD 32,500","Dans le parc, bord de la Seine",Painted in 1903-1905
40,Pierre-Auguste Renoir ,1841-1919,"USD 300,000 - USD 500,000",nov17,352,oil on canvas,"Galerie Daniel Malingue, Paris.
Private collection, Europe (acquired from the above, 1983); Estate sale, Sotheby's, New York, 8 May 2014, lot 143.
Acquired at the above sale by the present owner.",signed 'Renoir.' (lower right),16 5/8 x 14 ½ in. (42.1 x 36.7 cm.)|,"USD 432,500",Roses dans un vase de fleurs,n/a
41,Gustave Loiseau ,1865-1935,"USD 25,000 - USD 35,000",nov17,354,oil on canvas,"Galerie Durand-Ruel et Cie., Paris (acquired from the artist, June 1920).
By descent from the above to the present owner.",signed 'G Loiseau' (lower left),18 ¼ x 21 ¾ in. (46.3 x 55.1 cm. )|,"USD 37,500",L’avant port de Fécamp (Normandie),Painted in Fécamp in 1920
42,Gustave Loiseau ,1865-1935,"USD 50,000 - USD 70,000",nov17,355,oil on canvas,"Galerie Durand-Ruel et Cie., Paris (acquired from the artist, March 1914).
By descent from the above to the present owner.",signed 'G Loiseau' (lower left),23 5/8 x 31 7/8 in. (60 x 81 cm.)|,"USD 56,250","La Neige, Pontoise (Le pont du chemin de fer, effet de neige)",Painted in 1914
43,Gustave Loiseau ,1865-1935,"USD 40,000 - USD 60,000",nov17,356,oil on canvas,"Galerie Durand-Ruel et Cie., Paris (acquired from the artist, December 1919).
M. and Mme Fauvet, Paris (June 1972).
Charles Boisselier, Paris (November 1972).
Galerie Durand-Ruel et Cie., Paris (acquired from the above, February 1973).
By descent from the above to the present owner.",signed and dated 'G. Loiseau 1917' (lower right),23 ¾ x 23 7/8 in. (60.4 x 60.6 cm.)|,"USD 43,750",Triel sur Seine,Painted in 1917
44,Gustave Loiseau ,1865-1935,"USD 50,000 - USD 70,000",nov17,357,oil on canvas,"Galerie Durand-Ruel et Cie., Paris (acquired from the artist, January 1904).
By descent from the above to the present owner.",signed and dated 'G. Loiseau. 02' (lower left),21 ½ x 28 7/8 in. (54.4 x 73.2 cm.)|,"USD 81,250",Petite barque de pêche sur la plage d’Etretat,Painted in 1902
45,Eugène Boudin ,1824-1898,"USD 300,000 - USD 500,000",nov17,358,oil on canvas,"Galerie Durand-Ruel et Cie., Paris.
Dieterle collection, Paris.
E.J. van Wisselingh & Co., Amsterdam.
Gordon C. Edwards, Ottawa (by 1937).
M. Knoedler & Co., Inc. New York.
Mr. and Mrs. Arthur Murray, Honolulu (acquired from the above, by 1962).
Acquired from the above by the present owner, 2006.","signed, dated and inscribed 'E. Boudin - 93. 25 Octobre 93 Villerville' (lower right)",21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|,"USD 612,500","Villerville, Rivage, marée montante octobre",Painted on 25 October 1893
46,Auguste Rodin ,1840-1917,"USD 20,000 - USD 30,000",nov17,359,bronze with dark brown patina,"Musée Rodin, Paris.
Eric Sabers, New York (acquired from the above, February 1985).
Gertrude Stein Gallery, New York.
Anon. sale, Christie's, New York, 6 October 1988, lot 4.
Acquired at the above sale by the family of the present owner.","signed, numbered, inscribed and dated 'A. Rodin No 9 .© by musée Rodin 1980.' (on the right shoulder); inscribed with foundry mark '.Georges Rudier. Fondeur. Paris.' (on the left shoulder); with raised signature 'A. Rodin' (on the underside)",Height: 12 in. (30.5 cm.)|,"USD 18,750",Tête de Balzac au front dégagé et au menton fendu dit aussi Tête type H,Conceived circa 1894; this bronze version cast in 1980
47,Claude Monet ,1840-1926,"USD 250,000 - USD 350,000",nov17,363,22 1/8 x 15 3/8 in. (59 x 39 cm.),"Estate of the artist.
Michel Dedecker, France (December 1980).
Galerie Tuffier, Les Andelys, (1981).
Patrick Blanchon, Paris.
Anon. sale, Sotheby Parke Bernet Inc., New York, 21 May 1982, lot 304.
Leonard Andrews, Malvern, Pennsylvania (acquired at the above sale).
Private collection, Maine (acquired from the above, 1990); Estate sale, Skinner, Boston, 13 May 2016, lot 326.
Acquired at the above sale by present owner.",oil on canvas,,"USD 672,500",Nymphéas (fragment),n/a
48,Edgar Degas ,1834-1917,"USD 200,000 - USD 300,000",nov17,364,bronze with dark brown and green patina,"Durand-Ruel Galleries, New York (December 1922).
P. Marianotti, Milan.
Private collection, Stockholm.
M. Knoedler & Co., Inc., New York (acquired from the above, March 1965).
Leonard Hutton Gallery, New York (acquired from the above, June 1968).
Harriet Griffin Gallery, New York.
Acquired from the above by the present owner, March 1981.","stamped with signature, numbered and stamped with foundry mark 'Degas 20/G A.A. HÉBRARD CIRE PERDUE ' (Lugt 658; on the top of the base)",Height: 15 ¾ in. (40 cm.)|,"USD 360,500",Danse espagnole,"Original wax model executed circa 1885; this bronze version cast at a later date in an edition numbered A to T, plus two casts reserved for the Degas heirs and the founder Hébrard, marked HER.D and HER respectively"
49,Jean ,Hans Arp ,"USD 100,000 - USD 150,000",nov17,365,bronze with brown patina,"Brook Street Gallery, Ltd., London (by 1973).
Davlyn Gallery, New York.
Acquired from the above by the present owner, January 1980.","signed, numbered and inscribed with foundry mark 'ARP 5/5 E.GODARD Fondr.' (on the underside)",Height: 16 ¾ in. (42.6 cm.)|,"USD 275,000",Buste silvestre,Conceived in 1963; this bronze version cast in 1972
50,Diego Giacometti ,1902-1985,"USD 120,000 - USD 180,000",nov17,366,Height: 15 5/8 in. (39.6 cm.),"Josephine Howell Decoration, Inc., New York.
Acquired from the above by the present owner, June 1968.",bronze with dark brown and green patina,Length: 32 ¾ in. (83.2 cm.)|Width: 25 3/8 in. (63.4 cm.)|,"USD 125,000","Grande table torsade, modèle carré",Conceived circa 1965
51,Henri Matisse ,1869-1954,"USD 300,000 - USD 500,000",nov17,368,oil over pencil on panel,"Pierre Matisse, New York.
Pierre-Noël Matisse, Paris (by descent from the above).
By descent from the above to the present owner.",signed with initials 'H.M.' (lower left),11 ¾ x 7 in. (30 x 17.8 cm.)|,"USD 324,500","Paysage, St. Tropez",Painted circa 1904
52,Alexej von Jawlensky ,1864-1941,"USD 120,000 - USD 180,000",nov17,370,oil on cardboard laid down on board,"Galerie Krugier et Cie., Geneva (by 1963).
Selected Artist's Galleries, Inc., New York.
Private collection, New York; sale, Christie's, London, 1 December 1967, lot 56.
Acquired at the above sale by the family of the present owner.",signed with initials 'A.J' (lower left),11 3/8 x 7 ¾ in. (29 x 19.7 cm.)|,"USD 175,000",Mystischer Kopf: Damenbildnis I,Painted circa 1917
53,Charles Camoin ,1879-1965,"USD 12,000 - USD 18,000",nov17,372,oil on board,"André Bacqué, Paris (gift from the artist).
Jean Bacqué, Paris (by descent from the above).
Private collection, Surrey; sale, Christie's, London, 26 March 1999, lot 7.
Acquired at the above sale by the late owner.",signed and dedicated 'à André Bacqué son ami Ch. Camoin' (upper left),12 7/8 x 9 3/8 in. (32.7 x 23.8 cm.)|,"USD 22,500",Autoportrait,Painted circa 1905
54,Auguste Herbin ,1882-1960,"USD 60,000 - USD 80,000",nov17,373,oil on canvas,"Galerie de l'Effort Moderne (Léonce Rosenberg), Paris.
Achim Moeller Fine Art, New York.
Acquired from the above by the late owner, September 1999.",signed and dated 'herbin 1909' (lower left),16 x 13 1/8 in. (40.8 x 33.4 cm.)|,"USD 225,000",Portrait d'homme,Painted in 1909
55,Eugène Boudin ,1824-1898,"USD 30,000 - USD 50,000",nov17,375,oil on board laid down on cradled panel,"Paul Detrimont, Paris.
Stephen Hahn, New York.
Acquired from the above by the late owner, September 1981.",signed 'E. Boudin' (lower right),7 x 9 7/8 in. (17.8 x 25.1 cm.)|,"USD 100,000",Le port de Trouville,Painted circa 1860-1865
56,Eva Gonzalès ,1849-1883,"USD 30,000 - USD 50,000",nov17,376,oil on canvas,"Estate of the artist; sale, Hôtel Drouot, Paris, 20 February 1885, lot 48.
Jean-Raymond Guérard, Paris (by 1950).
Galerie Alfred Daber, Paris.
Browse & Darby, Ltd., London.
Acquired from the above by the late owner, March 1985.",stamped with signature 'Eva Gonzalès' (Lugt 4236; upper right),8 3/8 x 13 ½ in. (21.3 x 34.4 cm.)|,"USD 25,000",Dessert,Painted circa 1875-1876
57,Pierre Bonnard ,1867-1947,"USD 400,000 - USD 600,000",nov17,377,oil on canvas,"Estate of the artist.
Wildenstein & Co., Inc., New York.
Sydney F. Barlow, Beverly Hills; sale, Sotheby Parke Bernet, Inc., New York, 17 May 1978, lot 45.
Acquired at the above sale by the late owner.",stamped with signature 'Bonnard' (Lugt 3886; upper left),23 1/8 x 21 7/8 in. (59 x 55.7 cm.)|,"USD 792,500",Jeune femme au chapeau noir,Painted circa 1910
58,Jeanne Guérard-Gonzalès ,1852-1924,"USD 10,000 - USD 15,000",nov17,378,oil on canvas,"Mme Guinard, Paris (daughter of the artist).
Paul Rosenberg & Co., New York.
Spring Creek Art Foundation, Inc. (acquired from the above); sale, Christie's, New York, 22 February 2005, lot 9.
Acquired at the above sale by the late owner.",indistinctly stamped 'Eva Gonzalès' (lower right),18 ¼ x 15 in. (46.4 x 38.1 cm.)|,"USD 9,375",Eva Gonzalès à Dieppe,Painted circa 1880
59,Édouard Vuillard ,1868-1940,"USD 180,000 - USD 250,000",nov17,380,oil on board,"Estate of the artist.
Sam Salz, Inc., New York.
George Armour, New York (1956).
Acquavella Galleries, Inc., New York (1977).
William Beadleston, Inc., New York.
Acquired from the above by the late owner, July 1980.",stamped with signature 'E. Vuillard' (Lugt 2497a; lower right),9 7/8 x 14 7/8 in. (25.1 x 37.9 cm.)|,"USD 212,500",Le peintre Maximilien Luce dans son atelier,Painted circa 1899
